tweet_text,month_of_tweet
"The Top 27 #AlkalineFoods On The Planet (Eat More To Prevent #Cancer, #Obesity And #HeartDisease) … #prevention",8
"The Top 27 #Alkaline_Foods On The Planet (Eat More To Prevent #Cancer, #Obesity And #HeartDisease) … #prevention",8
¡PISTA! CLUE! #ink #tattoo #SouthAmerica #cancer #awareness #Paraguay #motivation #inspiring…,8
Nicaragua Has a Cervical Cancer Problem. A Coffee Farm Is Trying to Help.: Nicaragua has the highest cervical...,8
Nicaragua Has a Cervical Cancer Problem. A Coffee Farm Is Trying to Help. #Press #Politics,8
Nicaragua Has a Cervical Cancer Problem. A Coffee Farm Is Trying to Help.: Nicaragua has the highest cervical...,8
I wish I am there with you.. Missing my dad #sunset #sky #worldbestsky #weather #health #cancer…,8
#Cancer instinctively knows when to reach out to others or when to pull into their shell for inner sustenance.,8
Cancer @ Santotome …,8
"If you're ready to get married and have kids, choose a #Cancer partner.",8
Last night pink party. Bringing awareness to breast cancer. MISSED!!! #professionalrelaxation…,9
"#Repost (get_repost) ・・・ On today's Power Of Love show, inspiring breast cancer…",8
VITAMIN B SUPPLEMENTS LINKED TO LUNG CANCER IN MEN. Men who took high doses of vitamin B for…,8
"Guyana Cancer Foundation invite you to our Annual Tree Wrapping Exercise on Monday 2nd Oct, 2017…",8
"Free Cervical Cancer Screening @ Bartica Hospital, Region # 7",8
Cancer ladies do it better! em Santa Anna Bar,8
"This week on The Entrepreneurial You podcast...How One Cancer Survivor & Model, Became a…",8
By espn - Chad Bettis: 1 Cancer: 0 #PhotoOfTheNight - en Capital District,8
#YoApoyoLaIntervencionMilitar shuold do a quirugical extraction of that cancer called Socialism XXI lidered by,8
"I strong recommend ""Cancer Immunotherapy - Principles and Practice Textbook"" Happy to…",7
EU defers vote on glyphosate weedkiller over cancer concerns c,3
Cancer :/,3
"Aye, fuck cancer! @ Santo Andre, ABC",3
Soursop said to have insane #cancer fighting properties grown #organic in #grenada @ The Carenage,3
I wish I could eat your cancer when you turn black,3
"Bella foto de esta paciente con Cancer, gente real - I love this photo with this lady with…",3
#vitraux #gothic @ A.C.Camargo Cancer Center,3
#vitraux #gothic @ A.C.Camargo Cancer Center,3
Just posted a photo @ A.C.Camargo Cancer Center,3
Cancer n,3
¡Pista! Clue! #ink #tattoo #againstcancer #cancer #awareness #cyclinglife #bike #cycling…,3
Out There: A Yogathon Seva Party to Benefit Cancer Patients #Yogapic.twitter.com/SNeKULffQQ,3
#palestrasministradas #tireoide #novastecnogias #cirurgiadetireoide no 6o Thyroid Cancer…,2
#cancer #standoff #crab @ Spice Beach Club,2
""" #Exercising each day reduces risk of breast #cancer pic.twitter.com/nvJAgaKpkx""",2
Today I decided to donate my hair to patients with cancer because for me was just hair but for…,2
New Canadian guidelines say routine colonoscopies to screen for cancer not justified,2
""" Good News About #Cancer Infographic pic.twitter.com/P9G0tCNnHx""",2
Good news your cancer is in pic.twitter.com/CT6RIGex3S,2
Uni junto al cancer Infantil pic.twitter.com/YbpgCKunfl,2
My hero happy anniversary children's cancer caring center… …,2
Heal your body Heal your life Cure cancer End disease in mind body and…,2
"If trees are the lungs of the world , we are the cancer / Si los árboles son los pulmones del…",2
I DID IT! I will donate my hair for children with cancer #adreamcometrue #donateyourhair…,7
It's also the track that confirmed his throat cancer.,7
I have found the House of Cancer within Colombia's famous House of Rock - the one and only…,7
"#TimBeta #BetaAjuda #BetaAjudaBeta #SDV #BetaLab (at in Natal, RN w/ pic.twitter.com/YwLaYujtpI",7
"Cancer Zodiac Sign a water sign, ruled by the moon, emotional, group oriented, seeks security,…",7
Today is my 12 year cancer-versary...12 years CANCER FREE! Not bad...not bad at all. Thank you…,7
SEE ARIA WIN - HELP FIGHT CANCER: Please head over to the link in my bio to vote this…,7
I'm at A.C. Camargo Cancer Center,7
#totalmente #cancer @ Paracas National Reserve …,7
cancer tb kkkkkk,7
